Ice Phase,DMC (Unitcell),Experiment,CCSD(T) [Small cell],CCSD(T) [Medium cell],CCSD(T) [Large cell],CCSD(T) [Final]
II,0.3 ± 0.1,0.1 ± 1.4,0.9,N/A,N/A,0.9
III,1.2 ± 0.1,0.9 ± 1.4,1.9,1.4,1.6,1.9
IV,3.8 ± 0.1,N/A,3.2,2.9,3.6,3.2
VI,1.8 ± 0.1,1.6 ± 1.4,2.4,N/A,2.1,2.4
VII,5.0 ± 0.1,4.2 ± 1.4,2.0,3.8,3.9,3.8
VIII,4.2 ± 0.1,3.2 ± 2.0,3.7,N/A,N/A,3.7
IX,0.6 ± 0.1,0.4 ± 1.4,1.6,N/A,N/A,1.6
XI,0.2 ± 0.1,N/A,-0.0,N/A,N/A,-0.0
XIII,2.1 ± 0.1,N/A,1.8,N/A,N/A,1.8
XIV,1.7 ± 0.1,N/A,2.3,N/A,N/A,2.3
XV,1.7 ± 0.1,N/A,2.4,N/A,N/A,2.4
XVII,1.8 ± 0.1,N/A,1.5,1.0,1.2,1.5
